o1
0: right, val: 0.7433056816449432
1: right, val: 0.8259129711248513
2: down, val: 0.9269766339596408
3: right, val: 1.0944132601003078
4: down, val: 1.223333155373942
5: left, val: 1.100902449965543
6: left, val: 0.9798240337496927
7: left, val: 0.8243513239851279
8: left, val: 0.7392835181646668
9: left, val: 0.6504987501375574
10: right, val: 0.8345313074172707
11: right, val: 0.9328576994095652
12: down, val: 1.0407764075420973
13: right, val: 1.225775708147721
14: down, val: 1.3633838806860998
15: left, val: 1.2204499190932987
16: left, val: 1.002259368622071
17: left, val: 0.8929320470845907
18: left, val: 0.8036385934436829
19: left, val: 0.7232686880557925
20: right, val: 0.9468260274446715
21: right, val: 1.0558017572232523
22: right, val: 1.1733812400849628
23: right, val: 1.3037598674289999
25: left, val: 1.1639010709
26: left, val: 1.0443878479616535
27: left, val: 0.40125136653903437
28: up, val: 0.7231883818896536
29: up, val: 0.6244671010589329
30: up, val: 0.5799893760874942
31: up, val: 0.9482282095795028
32: up, val: 0.8601088884812885
33: up, val: 1.1733025414202234
34: up, val: 1.23751096381
35: up, val: 1.0468572756928154
36: left, val: 0.9417296494131341
37: up, val: 0.3603196670680368
38: left, val: 0.3213458040731598
39: up, val: 0.5592168959026191
40: up, val: 0.5219745404819803
41: up, val: 0.5418564343290033
42: right, val: 0.9163748502314959
43: up, val: 1.0538406897683832
44: up, val: 0.9708663408039918
45: up, val: 0.9355186569339531
46: up, val: 0.7789839431935001
47: left, val: 0.6336864089591243
48: left, val: 0.5584450443960259
49: up, val: 0.247364708087186
50: up, val: 0.46961177523084674
51: up, val: 0.4876662814608047
52: up, val: 0.5375762525352286
53: up, val: 0.9172733290558922
54: up, val: 0.8690682672475879
55: left, val: 0.7738075865266197
56: left, val: 0.5488278091584067
57: up, val: 0.5391761767302016
58: up, val: 0.18415564592428227
59: up, val: 0.1934103419944822
60: up, val: 0.41953414865595656
61: right, val: 0.41681526294119103
62: right, val: 0.7395364941580554
63: up, val: 0.8255398388684674
64: up, val: 0.7820890789845597
65: left, val: 0.6977116024537912
66: left, val: 0.6261148774572629
67: up, val: 0.47717188058887244
68: left, val: 0.3422369590191366
69: up, val: 0.1356162517307284
70: right, val: 0.3793430038021273
71: right, val: 0.5805646263090477
72: right, val: 0.6537767369682191
73: up, val: 0.7405367286836314
74: up, val: 0.6938848001821583
75: up, val: 0.6269859349142923
76: left, val: 0.550949858792062
77: left, val: 0.3626277930409376
78: left, val: 0.17066948477274457
79: left, val: 0.1533330897876674
80: up, val: 0.33537209350101055
81: up, val: 0.37918417287261574
82: up, val: 0.4069080028883569
83: up, val: 0.46981059514730206
84: right, val: 0.15706079508148585
85: up, val: 0.5358231533866492
86: up, val: 0.36041865743014834
87: up, val: 0.09513749600328202
88: up, val: 0.15354948879292926
89: left, val: 0.13424584972422063
90: right, val: 0.2929543908551976
91: up, val: 0.34117926617254435
92: right, val: 0.3535290225140906
93: up, val: 0.3934097653623568
94: left, val: 0.3115276373068018
95: up, val: 0.451082862598411
96: up, val: 0.0
97: up, val: 0.08536317170363057
98: up, val: 0.07561606558762553
99: up, val: 0.08024301355761701

