o1
0: down, val: 0.08978315996195191
1: down, val: 0.1631198142054622
2: up, val: 0.0
3: down, val: 0.3524470780124533
4: down, val: 0.38966821241978905
5: right, val: 0.4185505312412273
6: right, val: 0.46828574681596846
7: down, val: 0.5969424266240888
8: down, val: 0.5441879045558222
9: down, val: 0.5644096378559236
10: down, val: 0.17699894206633887
11: down, val: 0.1965794695211891
12: right, val: 0.26367903391521375
13: right, val: 0.3986675555647464
14: down, val: 0.44830756696641216
15: down, val: 0.3873712487867863
16: down, val: 0.598597873983736
17: down, val: 0.6802389591797212
18: down, val: 0.6467643960772145
19: down, val: 0.7584029285128908
20: right, val: 0.21887264267124348
21: down, val: 0.24483259055771298
22: right, val: 0.25708901903702097
23: right, val: 0.36082690361727665
24: right, val: 0.5096192541568533
25: down, val: 0.5668508810249161
26: right, val: 0.6868965213751087
27: right, val: 0.7734779616333863
28: down, val: 0.8729939389617954
29: down, val: 0.8493482215634466
30: right, val: 0.16144108569057472
31: right, val: 0.27377817614625877
32: right, val: 0.36076872329909215
33: right, val: 0.4008754149694784
34: right, val: 0.44560022333832294
35: down, val: 0.8405328780224676
36: down, val: 0.9054464904650676
37: down, val: 0.6152208293642093
38: down, val: 0.9720405482124749
39: down, val: 0.9610553537208448
40: down, val: 0.2289551111103669
41: right, val: 0.33230159498050577
42: right, val: 0.39561077279784407
43: right, val: 0.43968241654905754
44: right, val: 0.8521436684729524
45: down, val: 0.9476986476141519
46: right, val: 1.0539852418921258
47: down, val: 1.1733626688719694
48: down, val: 1.23751096381
49: down, val: 1.1071097704074946
50: right, val: 0.28714296533181655
51: right, val: 0.3191156751123192
52: right, val: 0.3551602033938164
53: right, val: 0.3946240079141503
54: right, val: 0.7132551677544924
55: right, val: 1.0542865984236323
56: right, val: 1.1733674573205615
57: right, val: 1.3037598674289999
59: left, val: 1.23751096381
60: right, val: 0.2987334564158418
61: right, val: 0.3344878022643792
62: right, val: 0.37197128308002897
63: right, val: 0.586084615664794
64: right, val: 0.6704443453140732
65: up, val: 0.7451375662253346
66: right, val: 1.0558921617444952
67: up, val: 1.173297028699091
68: up, val: 1.3037598674289999
69: up, val: 1.1096385027423121
70: right, val: 0.270384365066919
71: right, val: 0.3023325181904382
72: right, val: 0.3387889428949474
73: right, val: 0.3866215780861946
74: right, val: 0.7437383372046122
75: right, val: 0.8418005399813505
76: up, val: 0.9378195766569504
77: up, val: 1.0559374739128506
78: up, val: 1.1071878574294145
79: up, val: 0.9967757255491452
80: up, val: 0.22554021100567648
81: right, val: 0.04115841480460609
82: right, val: 0.3326982810012747
83: right, val: 0.36977735993669636
84: right, val: 0.411015983113696
85: up, val: 0.4566869467642448
86: right, val: 0.7402124168355246
87: up, val: 0.9355223910352918
88: up, val: 0.9359275876760288
89: up, val: 0.7023583156735951
90: right, val: 0.22413529204656052
91: right, val: 0.2684461942864519
92: up, val: 0.29837601137571207
93: up, val: 0.33138441041603744
94: right, val: 0.35797594104588626
95: right, val: 0.40139875162576033
96: up, val: 0.6654985220807426
97: right, val: 0.6128673518271056
98: up, val: 0.833222569210779
99: left, val: 0.6438560468694983

