o1
0: down, val: 0.7888680812247333
1: down, val: 1.0973798733265339
2: left, val: 0.7195425084318247
3: down, val: 0.6497929981339937
4: left, val: 0.5846277177295062
5: left, val: 0.5254767326564115
6: down, val: 0.45965642749143054
7: left, val: 0.32745265851609456
8: left, val: 0.2901579963290152
9: down, val: 0.18532395591839249
10: down, val: 1.1639010709
11: down, val: 1.2198692428812203
12: down, val: 0.7979778207953296
13: down, val: 0.7219932248905477
14: down, val: 0.6499193442359019
15: left, val: 0.5829851653516636
16: left, val: 0.5107664919239873
17: left, val: 0.256615978201849
18: up, val: 0.2586766850817269
19: left, val: 0.20709613021771958
21: left, val: 1.3633838806860998
22: left, val: 1.153537768619986
23: left, val: 1.0293268178199653
24: left, val: 0.7224012600801293
25: left, val: 0.6498449914310264
26: down, val: 0.35959518935414597
27: left, val: 0.3234288425174765
28: left, val: 0.29072761827498855
29: left, val: 0.25691849538877914
30: up, val: 1.54792616411815
31: left, val: 1.393096695875114
32: left, val: 0.9294398174324436
33: up, val: 0.9151804627578846
34: left, val: 0.6235602758454899
35: left, val: 0.5611563134433983
36: left, val: 0.49349906347944233
37: left, val: 0.43156309024121875
38: left, val: 0.3065616761085217
39: up, val: 0.0
40: up, val: 1.1660643910714799
41: left, val: 0.8177371915727879
42: up, val: 0.8364833472869244
43: up, val: 0.6191363846636796
44: up, val: 0.5611653872523202
45: left, val: 0.4397668490225001
46: left, val: 0.3900241403984268
47: left, val: 0.32582194725968944
48: down, val: 0.29640778004737917
49: down, val: 0.26522357799247026
50: up, val: 1.049452610659468
51: left, val: 0.7770700563526878
52: up, val: 0.752606817452747
53: left, val: 0.628932398095078
54: left, val: 0.5659319484334485
55: left, val: 0.4611105443281766
56: left, val: 0.4149994890727235
57: left, val: 0.3729689724769461
58: left, val: 0.33567174088065266
59: left, val: 0.30205771564195827
60: up, val: 0.944478013315237
61: left, val: 0.7203056213631409
62: up, val: 0.6768841680858064
63: up, val: 0.5659773090990868
64: left, val: 0.5090946211619739
65: left, val: 0.4579352412027858
66: left, val: 0.4080390409239213
67: left, val: 0.3277400445226651
68: up, val: 0.3014269194859722
69: left, val: 0.25028036438293766
70: up, val: 0.849947412469044
71: left, val: 0.7640014991371421
72: left, val: 0.676417809292004
73: left, val: 0.5174946458413993
74: left, val: 0.4529582347500407
75: up, val: 0.41144312280780876
76: left, val: 0.35163415184591595
77: left, val: 0.05067972335242661
78: up, val: 0.1778559829523027
79: up, val: 0.2237254085267592
80: up, val: 0.6609068355185608
81: up, val: 0.6774434087079179
82: left, val: 0.5319037864502589
83: left, val: 0.47489442321091546
84: left, val: 0.4159825684345764
85: up, val: 0.334344927932117
86: up, val: 0.2051721858340279
87: left, val: 0.04583821630449397
88: up, val: 0.04060035855434628
89: up, val: 0.030481130638005567
90: up, val: 0.5948118301611793
91: up, val: 0.5995637835815085
92: left, val: 0.46861330998474904
93: left, val: 0.41523749724160136
94: left, val: 0.3726756847839073
95: left, val: 0.29405642580847635
96: left, val: 0.25539106273035267
97: left, val: 0.2206761416737307
98: up, val: 0.036256597565950684
99: left, val: 0.03204951037370608

