o1
0: right, val: 0.1182381381453828
1: down, val: 0.18751042343476185
2: up, val: 0.0
3: down, val: 0.32635814172407734
4: down, val: 0.3068187210816452
5: right, val: 0.37724064448078104
6: right, val: 0.42005962182941714
7: down, val: 0.5458747818074419
8: down, val: 0.5562765482632996
9: down, val: 0.5751270152452542
10: right, val: 0.18623191167081637
11: down, val: 0.2085497347506522
12: right, val: 0.3180450899646962
13: right, val: 0.36268592150145623
14: down, val: 0.4745945903934674
15: down, val: 0.34885457512191104
16: down, val: 0.4615507908835377
17: down, val: 0.6177193416098775
18: down, val: 0.6486366758352696
19: down, val: 0.6390322768847699
20: up, val: 0.0
21: right, val: 0.23541862870942568
22: down, val: 0.34458990902012354
23: right, val: 0.34141256212470683
24: down, val: 0.5321966203279435
25: down, val: 0.502886010152102
26: down, val: 0.6526770993339678
27: right, val: 0.708820809512885
28: down, val: 0.8666314685743068
29: down, val: 0.7178190656033075
30: down, val: 0.21454291503865702
31: up, val: 0.0
32: right, val: 0.3978249784204134
33: right, val: 0.442917003488001
34: down, val: 0.5919889951708875
35: right, val: 0.6526086585730524
36: down, val: 0.7351408684565485
37: right, val: 0.970989248817147
38: down, val: 1.0919285168852724
39: left, val: 0.9730460381187187
40: right, val: 0.24107464170960627
41: right, val: 0.267894849022177
42: right, val: 0.2986708666111382
43: right, val: 0.5824409792065766
44: right, val: 0.6581966109974974
45: right, val: 0.7320688410016608
46: right, val: 1.0015960867046487
47: right, val: 1.1129597903494102
48: down, val: 1.23751096381
49: left, val: 1.1136421680626918
50: right, val: 0.22997409234125898
51: right, val: 0.2583164494483285
52: right, val: 0.28734410933113863
53: right, val: 0.5110448287617836
54: up, val: 0.5904364466719777
55: right, val: 0.6302272553087718
56: up, val: 0.8860299585196114
57: right, val: 0.8902621000000001
59: left, val: 1.082112301
60: up, val: 0.1998697582275054
61: right, val: 0.29358168618487884
62: right, val: 0.33560013445115955
63: right, val: 0.45234442843485334
64: up, val: 0.5103225005766641
65: up, val: 0.5666992288891449
66: up, val: 0.6636179279426461
67: right, val: 1.0412035063922274
68: up, val: 1.3037598674289999
69: up, val: 0.6792684610590353
70: up, val: 0.1349461632348425
71: right, val: 0.2842946442891834
72: right, val: 0.3196507203136417
73: up, val: 0.3551675489513598
74: right, val: 0.39178423668036244
75: up, val: 0.4467037042541989
76: right, val: 0.36108645649792764
77: right, val: 0.6299046188236654
78: up, val: 0.9578046925852848
79: left, val: 0.7127159891745468
80: right, val: 0.2282059518567682
81: up, val: 0.25474377165084044
82: up, val: 0.28686946101185146
83: up, val: 0.31934373051532716
84: up, val: 0.3518469257743782
85: up, val: 0.40148971448680537
86: up, val: 0.3249776960994307
87: up, val: 0.5659192803625459
88: up, val: 0.39758986316504014
89: up, val: 0.5156026639618843
90: right, val: 0.20340489392998728
91: right, val: 0.23235822625438035
92: up, val: 0.25817752583965525
93: up, val: 0.2775406288585535
94: right, val: 0.22038182075904056
95: right, val: 0.25808214954805914
96: up, val: 0.2924260248962483
97: up, val: 0.0
98: right, val: 0.4016698510644011
99: up, val: 0.4534238204000758

