Option removed: o1, at trial: 2, with rank: 11.0
Option removed: o2, at trial: 2, with rank: 13.0
Option removed: o6, at trial: 4, with rank: 12.0
Option removed: o0, at trial: 10, with rank: 61.0
Option removed: o5, at trial: 29, with rank: 139.0
Option removed: o7, at trial: 34, with rank: 168.0
Option removed: o10, at trial: 72, with rank: 113.0
Option removed: o4, at trial: 114, with rank: 343.0
Option removed: o12, at trial: 159, with rank: 60.0
Option removed: o9, at trial: 279, with rank: 1705.0
Option removed: o14, at trial: 281, with rank: 5.0
Option removed: o8, at trial: 288, with rank: 1091.0
Option removed: o15, at trial: 288, with rank: 14.0
Option removed: o17, at trial: 306, with rank: 18.0
Option removed: o18, at trial: 317, with rank: 29.0
Option removed: o19, at trial: 330, with rank: 42.0
Option removed: o13, at trial: 1368, with rank: 1455.0
Option removed: o21, at trial: 1372, with rank: 5.0
Option removed: o22, at trial: 1374, with rank: 7.0
Option removed: o23, at trial: 1381, with rank: 8.0
