Removed state: 89, at trial 10
Removed state: 99, at trial 10
Removed state: 98, at trial 10
Removed state: 88, at trial 10
Removed state: 79, at trial 12
Removed state: 97, at trial 24
Removed state: 87, at trial 25
Removed state: 78, at trial 25
Removed state: 69, at trial 29
Removed state: 77, at trial 29
Removed state: 96, at trial 29
Removed state: 76, at trial 38
Removed state: 68, at trial 38
Removed state: 86, at trial 39
Removed state: 59, at trial 43
Removed state: 67, at trial 44
Removed state: 66, at trial 46
Removed state: 58, at trial 46
Removed state: 75, at trial 47
Removed state: 95, at trial 50
Removed state: 22, at trial 55
Removed state: 65, at trial 58
Removed state: 74, at trial 64
Removed state: 85, at trial 64
Removed state: 57, at trial 65
Removed state: 49, at trial 75
Removed state: 64, at trial 76
Removed state: 48, at trial 78
Removed state: 56, at trial 87
Removed state: 55, at trial 87
Removed state: 54, at trial 93
Removed state: 84, at trial 93
Removed state: 63, at trial 104
Removed state: 44, at trial 105
Removed state: 34, at trial 123
Removed state: 45, at trial 123
Removed state: 38, at trial 135
Removed state: 39, at trial 138
Removed state: 94, at trial 139
Removed state: 53, at trial 145
Removed state: 47, at trial 146
Removed state: 43, at trial 148
Removed state: 33, at trial 151
Removed state: 24, at trial 159
Removed state: 23, at trial 196
Removed state: 62, at trial 201
Removed state: 42, at trial 204
Removed state: 35, at trial 227
Removed state: 46, at trial 227
Removed state: 73, at trial 256
Removed state: 52, at trial 299
Removed state: 83, at trial 560
Removed state: 93, at trial 905
Removed state: 29, at trial 2115
Removed state: 72, at trial 4167
Removed state: 25, at trial 4612
Removed state: 21, at trial 5338
