o1
0: right, val: 0.035092812936097034
1: right, val: 0.03918775735858493
2: right, val: 0.043686610748665665
3: down, val: 0.04875077739359859
4: right, val: 0.053965557204389523
5: right, val: 0.24852311284024778
6: down, val: 0.27881507864795474
7: left, val: 0.22244198012195426
8: left, val: 0.19345342652142622
9: left, val: 0.16592861171125642
10: right, val: 0.03461399496097893
11: right, val: 0.1254024944860662
12: down, val: 0.14725459522250425
13: right, val: 0.05416754173907678
14: down, val: 0.21804735582436158
15: right, val: 0.08416891765498011
16: down, val: 0.30986478277588303
17: left, val: 0.27877512273690425
18: down, val: 0.10945058700392425
19: down, val: 0.154895244350861
20: down, val: 0.15762638240775076
21: right, val: 0.03214024042168169
22: right, val: 0.2697068702942362
23: down, val: 0.30799948864641535
24: down, val: 0.24379382351697515
25: down, val: 0.37585996927330145
26: down, val: 0.4246174782767508
27: left, val: 0.29235304296278924
28: left, val: 0.2593755738365855
29: down, val: 0.4111833402717323
30: right, val: 0.1993804306463057
31: down, val: 0.22235242710888298
32: down, val: 0.28154992480073726
33: down, val: 0.3429058919201933
34: down, val: 0.37172861194710943
35: down, val: 0.4232496393502985
36: down, val: 0.49497469999458926
37: down, val: 0.5344901797100916
38: down, val: 0.5670476053777206
39: left, val: 0.4827034429191903
40: down, val: 0.1862830648633419
41: right, val: 0.24705825718959676
42: right, val: 0.34213281273559115
43: right, val: 0.3810810366799571
44: right, val: 0.42346841464169604
45: right, val: 0.4847355749696104
46: right, val: 0.5583180056175359
47: down, val: 0.620726836586623
48: down, val: 0.6368070025232997
49: left, val: 0.5302010917783868
50: down, val: 0.22390046416191073
51: down, val: 0.24635767929983185
52: right, val: 0.2202165264319703
53: right, val: 0.34968844935872545
54: right, val: 0.4008878264592275
55: down, val: 0.5231323516301343
56: right, val: 0.6014469121371246
57: down, val: 0.8270507163991566
58: down, val: 0.7075881337758931
59: down, val: 0.2553625706107154
60: right, val: 0.3211860176436162
61: right, val: 0.37021018923529014
62: right, val: 0.41164956471315345
63: right, val: 0.4579883794065775
64: right, val: 0.5224742820453523
65: down, val: 0.641736286068982
66: down, val: 0.6489888133265143
67: down, val: 0.9376939803378936
68: down, val: 1.0473714136158345
69: down, val: 0.7397085972224162
70: up, val: 0.28099182194496886
71: right, val: 0.30737339751729
72: right, val: 0.3464571018432172
73: down, val: 0.5077760492987485
74: right, val: 0.4282535214176912
75: right, val: 0.7180256918951087
76: right, val: 0.9340668592218709
77: right, val: 1.0472749464942888
78: down, val: 1.1639010709
79: down, val: 1.2711330178063687
80: up, val: 0.2464499500376379
81: right, val: 0.42685019127278656
82: right, val: 0.49751510498589313
83: right, val: 0.5642544128280362
84: right, val: 0.6835348571786017
85: down, val: 0.7615194728693079
86: right, val: 0.9636501696938441
87: right, val: 1.1639010709
89: left, val: 1.54792616411815
90: right, val: 0.274119526752796
91: right, val: 0.3045772737288125
92: right, val: 0.5869228258105856
93: right, val: 0.6633394483785895
94: right, val: 0.7962456142672735
95: right, val: 0.8880832734980487
96: right, val: 0.9912225392456645
97: right, val: 1.1135949148108406
98: up, val: 1.3037598674289999
99: up, val: 1.2055823164185668

