o1
0: down, val: 0.2949619704782484
1: down, val: 0.2921199089417423
2: down, val: 0.35869360938404704
3: down, val: 0.28256952828649373
4: down, val: 0.27854053446054705
5: down, val: 0.2602251578753199
6: left, val: 0.2326342995336254
7: down, val: 0.14594066354776572
8: down, val: 0.13720150067623849
9: left, val: 0.12201960896308081
10: down, val: 0.33118829900469704
11: down, val: 0.3668638877737046
12: down, val: 0.39935723814474516
13: down, val: 0.3139671564177383
14: down, val: 0.3215515123461435
15: left, val: 0.28926629202943815
16: left, val: 0.24259145241986266
17: left, val: 0.21456566063350313
18: left, val: 0.15398897138544618
19: down, val: 0.13888298254281076
20: down, val: 0.36840568254853945
21: down, val: 0.40991182659693753
22: down, val: 0.44405724136707425
23: down, val: 0.40925889509387275
24: left, val: 0.35727945886066725
25: left, val: 0.32046813146239705
26: left, val: 0.2763599910176482
27: left, val: 0.20785448676553345
28: left, val: 0.18405759435636387
29: down, val: 0.1786862725536152
30: down, val: 0.41144396666260946
31: down, val: 0.45547580440386937
32: down, val: 0.5068985356617366
33: left, val: 0.4547333622957855
34: down, val: 0.5045980509600448
35: left, val: 0.3542069698869187
36: down, val: 0.25680613884457054
37: down, val: 0.2748117393396683
38: down, val: 0.20759487972954196
39: down, val: 0.19856106530248557
40: right, val: 0.4592963623806243
41: down, val: 0.5103301626039861
42: down, val: 0.7923395940598963
43: down, val: 0.7435409105878289
44: down, val: 0.5796882306672527
45: down, val: 0.5118801065249926
46: left, val: 0.34408736087666497
47: left, val: 0.3095369540232103
48: left, val: 0.27853298686328004
49: left, val: 0.25026981375191454
50: right, val: 0.5102034592106004
51: down, val: 0.6372004961012784
52: down, val: 0.940231719272129
53: left, val: 0.8268671081808532
54: left, val: 0.7161714641969591
55: left, val: 0.5789635454860865
56: left, val: 0.3454580869354771
57: left, val: 0.31089758537115764
58: down, val: 0.275593371189234
59: down, val: 0.24932051896085194
60: down, val: 0.7567637076805943
61: right, val: 0.7147529319971292
62: down, val: 1.0469087182742192
63: down, val: 0.8022139547737102
64: down, val: 0.8947694567446892
65: down, val: 0.7885761720340133
66: down, val: 0.6942405021160358
67: left, val: 0.6177489865695357
68: left, val: 0.4278134687606623
69: left, val: 0.37653247829227343
70: right, val: 0.8538656060554275
71: right, val: 0.9831641019749475
72: down, val: 1.3037598674289999
73: left, val: 1.110441267120022
74: left, val: 0.9944978533902936
75: left, val: 0.8772980764514322
76: left, val: 0.7888044052190848
77: left, val: 0.7003450054974536
78: left, val: 0.6137459511146437
79: left, val: 0.5439824562412597
80: right, val: 0.6833076806895502
81: right, val: 1.1639010709
83: left, val: 1.082112301
84: left, val: 0.9738948182720027
85: left, val: 0.8727357915869441
86: left, val: 0.6203807792325982
87: up, val: 0.6083897707952908
88: left, val: 0.4964506912099423
89: up, val: 0.0
90: right, val: 0.906056728814955
91: up, val: 1.0409981015661323
92: up, val: 1.23751096381
93: up, val: 0.9738498212953256
94: left, val: 0.8755597776524258
95: left, val: 0.7613298402661824
96: left, val: 0.572727386459731
97: up, val: 0.532807728790931
98: up, val: 0.4453461438441541
99: up, val: 0.0

